Period,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",Other manufacturing_No. (000),Foundation and superstructure_No. (000),"Decoration, repair and maintenance for buildings_No. (000)",Import and export trade_No. (000),Wholesale_No. (000),Retail_No. (000),Accommodation[3] and  food services_No. (000),Transportation and storage_No. (000),Postal and courier activities_No. (000),Information and communications_No. (000),Financing_No. (000),Insurance_No. (000),Real estate_No. (000),Professional and business services_No. (000),Public administration_No. (000),Education_No. (000),Human health and social work activities _No. (000),"Arts, entertainment and recreation_No. (000)",Other service activities_No. (000),Other industries_No. (000),Overall_No. (000)
5/2014 - 7/2014,17.7,113.3,241.6,70.2,443.7,49.6,341.7,295,298.2,18.4,118.7,192.4,52.9,152.6,356.8,105.7,200,177.4,56.4,417.5,21.5,3741.3
6/2014 - 8/2014,21.9,121.4,244.7,69.2,431.2,51.1,344,298.2,302.7,18.3,124,190.1,52.8,147.9,363.9,102.3,197.9,179,58.5,418.4,23.3,3760.7
7/2014 - 9/2014,18.4,118.4,250.5,69.2,431.8,49.6,345.1,290.4,299.9,21.5,123.2,189.8,54.4,152.1,365.3,101.8,202.6,176.9,57.3,416.8,23.6,3758.7
8/2014 - 10/2014,17.4,117.9,243.5,73.2,432.8,49,345.2,284.9,303.3,20.2,127.1,187.4,57.9,151.3,353.1,103.1,210.7,178.3,56.6,419.3,23.4,3755.7
9/2014 - 11/2014,14.7,112.6,241.5,74.8,441.5,44,341.5,285.3,313,20.2,127.3,182.4,59.1,152.5,340.3,103.7,218.1,180.8,54.8,426,24.2,3758.3
10/2014 - 12/2014,18.4,107,232.2,74.2,447.3,43.4,341.8,288.1,317.2,19.2,128.8,180.5,61.3,156.6,333.5,111,214.4,182.1,56.6,435.9,23.3,3772.6
11/2014 - 1/2015,21.5,101.9,235.7,75.6,447.1,42.9,346.2,291.5,311.7,17.9,130.6,185,56.6,153.6,337.1,109,214.3,184.4,55.1,439.8,24.7,3782.3
12/2014 - 2/2015,19.5,96.3,233.8,75,443.6,44.8,350.4,286.3,308.5,20,127.2,188.8,55.5,161.1,344.5,112.8,213.1,186.9,58.1,437.5,23.1,3786.6
1/2015 - 3/2015,16.4,96.7,232.1,71.6,442.2,46,346.3,286,308.4,19.8,126.8,190.9,56.4,161.8,350.6,108.7,211.1,191.6,56.7,438,23.2,3781.5
2/2015 - 4/2015,12.4,98.4,233.2,69,433.1,44.6,342.9,287.8,303.7,21.3,127.5,189.1,55.2,161,351.1,110,210.1,194.2,59.7,442.5,19.4,3766.2
3/2015 - 5/2015,13.3,103.5,240,66.2,429,43.8,342.2,286.6,298,20.5,129.2,186.4,56.1,154.7,351.5,108.8,212.4,192.1,60.3,439.7,19.9,3754.1
4/2015 - 6/2015,13.8,101.3,245,70.6,427.3,43.9,342.9,284.9,302.4,20.2,129.4,186.4,57,153.5,351.3,111.6,211.2,190.3,59.5,437.4,21.9,3761.7
5/2015 - 7/2015,14.8,104,248.3,72.4,427.2,42.6,342,282.1,301.7,20,132.2,186.4,56.3,152.8,354.6,111.2,211.1,193.7,59,436,23.3,3771.9
6/2015 - 8/2015,16.1,101.7,246.7,76.3,428.9,43.3,339.6,284.6,301.6,19.5,133.1,187.9,55.9,151.5,356.5,112.2,213.3,193.4,59,435.1,25.4,3781.7
7/2015 - 9/2015,15.3,100.4,246.6,74.6,429.4,42.9,337.2,282.1,298,18.9,135.3,186.8,54.5,150.3,356.3,109.4,215.7,192.2,60.3,437.4,27.8,3771.3
8/2015 - 10/2015,15.2,99.9,245.5,74.3,428.5,42.3,333.8,283.4,300.6,18.1,134.7,186.8,55.2,150.4,355.8,110.6,216.6,190.5,59.4,435.3,28.1,3764.9
9/2015 - 11/2015,14.5,102.6,246.4,75.5,429.2,43.7,332.1,282.5,297.9,18.4,134.1,187.3,57.2,152.3,356.5,110,214.3,188.8,59.2,437.8,29.1,3769.4
10/2015 - 12/2015,16.7,100.8,247.5,75.7,432.5,45.2,334.1,283.6,297,21.2,133,186.4,56.4,148.3,357.4,110.6,214.1,193.2,59.9,439.3,27.6,3780.2
11/2015 - 1/2016,17.8,102.2,247.7,74.5,424.1,46.9,338,285.9,300.1,19.9,135.7,185.8,57.6,150.9,360.1,110.9,212.7,191.6,59.8,439.9,25.1,3787.2
12/2015 - 2/2016,17.3,101.9,246,74,422.3,47.4,335.1,286.3,300.7,19.8,136.4,186.4,57.5,149.7,360.5,111.1,213.7,192.5,60.6,441.3,27.1,3787.6
1/2016 - 3/2016,16,100.4,246.8,73,421,44.7,335.9,284.3,302.2,20.1,136.5,186.5,57.9,151.1,362,113.2,212.6,194.1,62.4,437.1,25.4,3783
2/2016 - 4/2016,17.4,99.2,248.6,71.3,420.8,45.8,333.5,279.9,299.1,21.3,137.3,187.1,57.6,149.1,360.4,111.9,212.2,195.3,61.9,437,27.1,3774
3/2016 - 5/2016,17.3,100.3,249.9,70.1,418.6,45,333.7,279.2,299.5,21,136,183.7,56.8,148.6,362,112.7,212.2,193.5,62.5,437.6,27.8,3767.8
4/2016 - 6/2016,16.9,102.6,252.9,71.1,416.1,45.3,329.8,281.6,297.6,19.2,135.8,184.9,58.7,149.6,366.2,113.1,210.6,195.4,60.5,439.2,27.3,3774.3
5/2016 - 7/2016,15.5,103,255.7,71,416.7,44.4,328.5,284.2,297.1,18.5,136.5,184.8,59.3,150.2,366.7,113.5,214.2,196.4,58.8,440.9,27.3,3783.1
6/2016 - 8/2016,14.2,104.6,257.4,70.2,417.7,44.3,329.7,287.4,297.1,17.9,135.8,186.4,61,151.3,363.5,114.1,216.2,196.9,57.8,442.8,24.1,3790.7
7/2016 - 9/2016,14.5,104.5,260.8,72.1,417,43.4,326.9,287.2,295.5,17.9,135.4,187.9,62.8,149.6,362.1,114.1,214.6,195.2,57.3,441.2,25.1,3785.1
8/2016 - 10/2016,13.6,106.5,262.9,72.5,417.8,41.7,331.3,287.5,297.3,16.7,133.8,184.7,63.2,152,360.3,111.7,213.7,194.2,56.8,439.9,24.4,3782.5
9/2016 - 11/2016,12.6,104.5,263.3,74.6,416.5,41.8,331.1,284.9,296.8,17.6,133.1,185.2,62.9,150.9,360.8,110.9,214.2,195.1,55.9,440.2,24.2,3777
10/2016 - 12/2016,13,105.5,261,75.3,414.7,42,333.6,286.1,298.2,17.4,131.8,185.4,62.9,151.5,364.1,111.1,213.3,195.3,56.4,444,26.1,3788.6
